"","Ind[1]","Ind[2]","Ind[3]","Ind[4]","Ind[5]","Ind[6]","Ind[7]","Ind[8]","Ind[9]","Ind[10]","Ind[11]","Ind[12]","Ind[13]","Ind[14]","Ind[15]","Ind[16]","Ind[17]","Ind[18]","Ind[19]","Ind[20]","alpha","betaT[1]","betaT[2]","betaT[3]","betaT[4]","betaT[5]","betaT[6]","betaT[7]","betaT[8]","betaT[9]","betaT[10]","betaT[11]","betaT[12]","betaT[13]","betaT[14]","betaT[15]","betaT[16]","betaT[17]","betaT[18]","betaT[19]","betaT[20]","tau"
"1",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.59233204654958,0.720579430636751,0.587319411056422,0.623438575276519,2.41001847973784,0.0935769980400489,-0.11531593501524,-1.85296146624261,-0.066909432830688,0.233935887984978,-0.18391320250208,-1.69834068657179,0.581986176960809,0.580557277261896,-0.615284032704505,-1.70028837816925,1.55926283557274,0.980021354733474,0.941340252962102,0.668131792593876,0.103005393226738,0.475555772362299
"2",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.62250724268385,0.844928486646317,1.02258152752215,-0.920041872708949,-1.27701565033107,0.0771975152732163,0.532371859596201,1.1945933515858,-0.326213989912931,0.233935887984978,-1.47520493326455,1.00904198446839,0.581986176960809,0.571104658764094,0.100939117978291,2.11971972299339,0.608183954091558,0.980021354733474,-0.761761649947827,0.647311604922086,0.175295398923963,0.489829822505218
"3",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.62250724268385,-0.0432473197111789,1.02258152752215,-0.59309424436926,0.22397077515748,0.0763851053016326,-0.0942702742203481,0.417523903758123,0.567733595737649,0.233935887984978,-0.603097961177615,3.61606193527391,0.555385948454981,0.563202296659319,-0.383297393546163,-0.478839415654365,1.43194679352528,-0.00825862468684732,-0.633156644161266,0.62259900893655,0.464602379808436,0.585668103788662
"4",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.62250724268385,1.0106028979631,-0.310635134445071,-0.607707347251646,0.290945975684032,0.080214489093181,-0.284512698112375,-1.06083482983963,0.567733595737649,0.233935887984978,-0.138694929115201,1.08911218796005,0.584613773541816,0.566473965159475,0.157613629645409,0.303872176464191,0.438469085417772,-0.00825862468684732,0.214168559451647,0.619898235572664,0.311346101121405,0.47111674486399
"5",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.62492041038742,-0.106701649016264,-0.310635134445071,-0.533387590958982,0.793571285320172,0.0768550278700785,-2.21002060360529,-0.114483714770017,1.05019016585001,0.252710510364872,-0.280405635868271,-1.95820708377086,0.587685503921606,0.602158099749577,0.199560376290037,-1.81020620371537,-0.520081177287446,1.06992874105079,-2.61549793783698,0.63031116801099,0.237650022718234,0.482118315617207
"6",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.59672191169474,-0.929499552347831,0.392539946589583,-0.194238884219546,-0.982100440402626,0.0679806854868697,0.324870228054958,0.325156875202103,0.108564340008256,0.252710510364872,-1.69803954215437,0.606497867242864,0.618266690483117,0.600138888262111,-0.335208080123882,-1.13380545774437,0.143997756311327,-1.37306267730954,-2.34358668607905,0.633594610096572,0.0714309650184313,0.449675841428483
"7",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.59007384094093,1.05333543806316,0.392539946589583,0.0915305094991598,2.57551776347163,0.0732500564660867,0.741086726565425,0.325156875202103,1.26594632403018,0.252710510364872,-1.37629584195566,-0.203528975339839,0.594874227844247,0.619019746634454,0.892906530638451,-0.00151758513633993,-0.587008747589169,-0.0281513139774374,0.141852426113578,0.623180372819262,-0.0301541285552019,0.49759502270772
"8",0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,2.56874048612708,-1.24076343048832,-0.399641671379529,0.55209639305539,-1.76551873452036,0.078584023069938,-0.0123205146585355,0.233126889481409,-0.726912539875517,0.252710510364872,1.02933555114443,0.527918080986151,0.570911496146201,0.645859764745263,0.67241640667085,-0.00151758513633993,-0.587008747589169,0.945739093540056,-0.950659757779167,0.63163760287288,-0.136179793203728,0.516463446309776
"9",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.56268091609196,0.132740594133041,-0.532286629689079,0.742183117464581,-1.94294984958576,0.090587486703194,2.492136222941,-0.267982154166476,0.613094086799871,0.252710510364872,1.02933555114443,0.504837427635227,0.572550195864657,0.649379040223523,-0.222406085695573,-0.00151758513633993,0.398103526949631,0.945739093540056,0.163207486335058,0.635396596129526,0.0868209229127177,0.585843795787328
"10",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.56422296202219,-0.59440817059864,3.07944796331485,-1.54101981757583,1.13099654624772,0.0971990581173654,1.31910732253995,1.20535796114879,0.00579246061463512,0.252710510364872,-1.00152647636049,-0.544279321802667,0.565117467704122,0.643364458101452,0.269696102420902,-0.603842006949281,0.0664562795942875,1.10419166312733,0.856372866785106,0.639732750513273,0.0403430716161588,0.537762913043401
"11",1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.56399385115671,0.00758290450599786,0.205699004701666,-0.825321027215258,-1.48174568416364,0.106149387384856,0.281593511684362,-0.0146980540930544,-1.06042809537824,0.252710510364872,1.11947530161371,1.85633620672317,0.573855970387453,0.620634050585284,-0.0273347169893296,-0.223776058557679,0.812722596988539,-1.69268242860151,-0.0876550837925705,0.642555301501377,-0.0736343288619031,0.504205734917692
"12",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.55843662491774,-0.325465055433486,0.927155316662469,-1.203129430209,-0.687234859036924,0.111314056000803,0.281593511684362,-0.368458347882618,-1.54841593284356,0.252710510364872,-0.7403733240015,1.54951903268162,0.559747405949536,0.620634050585284,-0.109991024231859,0.474190350883887,1.41475624816601,1.29260076926964,-1.63268509551875,0.658408178491428,0.140900623481152,0.555238496449135
"13",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.56537229015571,-0.647925423033963,0.73046361058192,-0.313559572577328,-0.438222050684365,0.106028676416128,-0.00837831485273477,-1.00453665223834,0.322965381312314,0.252710510364872,0.505525214086573,1.54951903268162,0.556262756835278,0.605945029048817,-0.28342875528632,0.810610908653182,1.1344408746509,-0.223696166265932,0.0755810896834123,0.674092301534192,0.183026726907558,0.533859416887351
"14",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.56552015287246,0.186420927851901,-0.388826870582832,0.329959491369429,0.144520492205517,0.110426090210287,0.883976571105833,1.40968922641157,-0.813702714422362,0.252710510364872,-0.951967732450434,-0.938070502850191,0.561952748375689,0.637708029612459,1.3717860255355,0.127995811093207,0.956595550999152,-0.223696166265932,1.35974114012296,0.680112695962735,0.353434846004894,0.420058339400251
"15",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.555647739422,-1.094654448845,0.640501247532227,-0.492496361061482,0.18833134857075,0.0974847182229018,-0.983636633810621,0.931955554846136,0.887827507937568,0.252710510364872,1.2663812112503,-2.22182426142082,0.594297607314958,0.635112248433552,0.613294903301448,-0.0226309790271765,0.999063283563115,0.767591554193345,-0.0172364012380722,0.704658286654272,0.216967638269106,0.474410539706044
"16",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.60428323193228,0.456814938480489,0.979569061110424,-0.429808670199616,0.0755927637504153,0.0985935198902475,0.19682112581954,0.448284375326861,0.469627257159244,0.252710510364872,0.480526425993915,-0.612319789258008,0.552205608715674,0.591650984541545,-0.400606636907815,0.582954698094106,1.0434977270882,-1.44038076776451,0.785436132927173,0.713684733479863,-0.0155362396669015,0.605118777939052
"17",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.64070286633296,-0.943044591854302,0.92272776287258,0.0719705265340526,-2.73983972303868,0.102924431130998,0.642572227359486,0.0164844015496245,-1.1166387727523,0.23730090243077,-0.611877283013902,-0.612319789258008,0.502203901527127,0.603624643558425,-0.835000743673185,-0.0573522424483451,-0.8905872497815,-0.297381054722052,-0.320128383700282,0.711278902031494,0.0300904032826575,0.482310655706877
"18",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.62759886303633,1.87690623236736,0.869073086704539,0.0719705265340526,0.177430102741354,0.102924431130998,-1.35847335530941,0.45080862467561,-0.922631067899422,0.23730090243077,-0.198358753141535,-0.309491603038592,0.517260635681354,0.592430914744564,-0.00788122025678328,0.191837353405173,0.767592381079213,-0.325741306207816,0.386956545322964,0.715417712083522,0.127967125789007,0.446920950926356
"19",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2.61486755448217,1.36363800984578,-0.316832025340018,0.022311446436604,0.572438159702704,0.100215858501625,-1.35485779043652,-1.20642308977233,-0.577782412210312,0.23730090243077,-0.226991736120392,-0.149964560128861,0.512394167782783,0.614220002493436,-1.50951324898588,-0.141478299098017,0.584888836090919,-0.325741306207816,1.00815927855468,0.713890217100653,0.0456463583810303,0.429530771884404
"20",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2.60949680892512,-0.703248612512713,-0.40340697856926,-0.265115648399588,1.06546378786409,0.0931419683619206,-0.452317675586628,-0.823809501572851,-0.421832885552968,0.23730090243077,-0.362342157651265,1.8892467110007,0.538148090975719,0.646375815512602,-0.711704529672879,-0.819067349381113,-1.01334900480704,-1.62142882689326,-1.12222522022744,0.733070041054479,0.017854705784778,0.451179496325979
"21",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.60392487268725,-1.45111557134464,0.755212432408068,0.420313491099299,-0.901540760988524,0.0921049852117053,-0.529046421842031,-1.15033810205256,0.535082838867129,0.23730090243077,1.37913121325009,0.55968202702318,0.526614712928899,0.638182823346839,0.597810846095989,-0.298354917236092,-0.336860073574463,-0.379594789596727,0.470752064645615,0.760528663721438,0.0541265243050174,0.454077328184127
"22",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.60921597160247,-0.33852640628429,-0.361156396366363,0.294061934353856,0.561628030084149,0.100847022219312,0.625040257887156,-0.0733029108092091,-0.565591989553465,0.23730090243077,-0.0955597095383496,-0.63507486296849,0.535449692568308,0.642314059932423,0.124413656195133,-0.200703784096073,-1.0780835530873,-0.102083392311193,-1.39583204549926,0.726380352740367,0.0550567662725916,0.499221267652005
"23",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.60921597160247,-0.877775796262111,-0.425641848696717,-0.852777443753763,-1.31343655798209,0.0998790943018156,1.04366843292588,-1.51656820052214,-0.0831047771992747,0.249345187110727,-1.00761240509651,-0.63507486296849,0.511888691851896,0.653346625587418,-1.12964259530144,0.3691056675898,-1.25200553682875,1.56789141398277,-0.289842578073251,0.723033666933859,-0.0363856681839881,0.583166719881901
"24",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.62270296396655,-0.643883080907756,0.669148415004545,0.018443793936014,-1.20000467831744,0.0975868161085951,-0.804182319920019,0.498648446577961,1.21023860599804,0.2452074705381,-0.265020391263138,-1.36509775601778,0.547254651402601,0.635658003054191,-1.09083619510676,-0.508024644200052,0.0610181531624083,1.15162083501032,-0.194774347050336,0.727726774144889,-0.197611400517715,0.478474089745711
"25",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.59833765661645,1.54374075913959,1.10290324542798,1.11082228015287,-0.0379513565918665,0.0875377571221651,0.539068089901327,1.33055335967402,-0.979467845624403,0.224968432597615,0.602767848522323,0.150789802322873,0.550044359460556,0.682210462523439,-0.473838746720506,0.480086158335455,0.344998532307388,0.105948540136516,-0.720430339448517,0.731411106683161,-0.200850734837743,0.560624782493017
"26",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.58134362775545,1.33554028195046,-0.462508708108741,-0.833305620806859,1.01915687826427,0.093197688311817,-0.446098293534278,0.825295282892165,0.0664921574663593,0.252834035159395,-0.786540150958821,0.528710927616301,0.521002460646472,0.696333096724791,-1.36114593562999,0.480086158335455,-2.37915700267144,0.57926235436187,-1.69173904887654,0.727338897956839,-0.199161669493499,0.457531598152029
"27",1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.57823438942647,-0.00289608615180362,0.357067353272269,1.46861436527581,0.451177617983308,0.107506894698885,-0.361199485790968,-1.35057783413684,1.18705237536192,0.252834035159395,-1.86832146123947,-1.68550661085541,0.518080392998277,0.66274748113024,-2.53187799966976,-0.798679943307536,-1.58005251986085,2.31493320350076,0.464840724819367,0.73951710112454,-0.31253883159187,0.488849368177286
"28",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.57823438942647,-0.754803031024411,-1.04140321084288,0.941699309147831,1.42296772235986,0.101928806698044,0.00887503088100252,-0.479674578314679,-0.368415197029454,0.265930808220547,0.58270225218454,0.648578665797996,0.538067274664053,0.700387657327241,1.10159189418114,-0.894229504239278,0.126262937726459,1.80947595260364,0.0732330206405534,0.743875679341135,-0.408612248992685,0.441049947239922
"29",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.60188754038055,0.413746344766705,0.109389318814944,0.772858334950888,-2.64436663065923,0.114378132073115,0.182143702532482,0.711596101400249,0.529032989626645,0.265930808220547,0.605751114611364,1.67418627375315,0.52305903811359,0.722091706600019,0.924667563499967,0.7149622630126,0.126262937726459,-0.128637674054579,-0.0162893071757394,0.731924833120373,-0.468468254816544,0.480259808937194
"30",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.60312608040623,0.199239732352136,-0.45256561191753,0.305167204308148,-0.195232791912648,0.126051552832254,0.182143702532482,0.86539275277546,0.104626378471779,0.265930808220547,0.605751114611364,0.17528922916527,0.532906928460957,0.712223412556991,0.288113164685996,-0.422089305147851,-1.32837889749061,-0.128637674054579,-1.30707084494701,0.74353409938792,-0.441648373510766,0.541255590325188
"31",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.58800355017862,-1.07505124137351,0.0553312517638745,0.109106150185316,0.296478483605859,0.10168659222536,0.182143702532482,-0.936806870833652,1.06485825960843,0.265930808220547,0.00259094681444039,-0.00766572127614068,0.546215566706557,0.73473881924892,-0.520439943242226,-0.236610345393364,0.372192394823943,0.175112640334566,-0.456774116228893,0.773751462506059,-0.397052731012005,0.494663165648444
"32",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.56544561966477,-0.450516107771562,-0.272868400738587,0.0792862086619867,0.310350591426558,0.0882591647093254,0.823350908590836,-0.236808888564413,1.77400001799617,0.265930808220547,-0.342973425634318,-2.35955523021225,0.537782019387975,0.733665236890306,-1.38760868255445,-0.236610345393364,-0.156211355983369,-1.61071199185533,-0.832210306639559,0.79147716234978,-0.513429963205811,0.439815265552276
"33",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.59703519946151,0.265685538959914,-0.690284835715808,1.68603370031916,0.0473697794132826,0.0905318138803897,1.64441523605631,-0.740779745031455,1.05621169412778,0.265930808220547,-0.342973425634318,0.0757190622847443,0.541779408452042,0.733806996536394,0.683642337997291,-0.997129216908401,-0.0621922762554643,0.969644482714857,-0.957122772553667,0.783280326623954,-0.60350248015912,0.622007204807938
"34",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.57967612989772,-0.573670063618872,0.256643210610603,0.101485814992277,1.9572330040819,0.0977739428641558,-0.873101662469209,-0.90195461964906,-0.350988243524709,0.277768826824173,-0.851513069679852,-0.795977714857705,0.543943026015091,0.722770967347712,-0.974694705375523,0.640768528690802,0.830239410271039,-0.716444959201056,0.373607295850877,0.783280326623954,-0.686986087480852,0.470558392767164
"35",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,2.60949505210569,1.22409115292855,-0.213060827646892,-1.00474043167724,-0.613495345543713,0.0959354302510019,-0.783317969177503,-0.356730770048584,-0.870663899260878,0.235745931719959,0.858103533942596,0.626858719233604,0.520060710422258,0.711974640817168,0.727357575582132,-0.54076489313065,0.502788657054925,-1.59831867829712,0.0289355465275294,0.793998071083965,-0.629033284641338,0.518481043018507
"36",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.57241346108127,1.11269818033897,-0.181771699377024,-1.242269275648,-0.138730515945087,0.106021734376377,0.104455369609124,-0.895321276351818,-1.00459357707808,0.235745931719959,0.485162750417176,-0.820116094588826,0.517694717520878,0.701555309010638,1.68667925658638,-0.857460601001748,0.279038080961675,1.0638334635448,0.0289355465275294,0.817211946731561,-0.501454103093132,0.516565712597448
"37",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.57746371162464,-1.05399537292327,1.56239511050625,1.78861007170457,0.131449633161209,0.095450861416512,1.1926327861069,0.098868219913917,-0.0154508836219927,0.235745931719959,-0.724080709743231,-1.08655060228083,0.511323985441515,0.717329070473606,1.38103577544803,0.40217606022622,-0.01111889918555,0.188782362105606,-0.351467485967027,0.828518392654525,-0.300380683017232,0.439254332342496
"38",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.55858635418712,0.667497482304674,0.385892106965241,-0.465688261956662,0.0852058349780549,0.094133953039701,0.851205542382889,0.965957480588101,0.572039697213326,0.238979121655357,0.359266965240969,-1.0051541652568,0.492194117711369,0.691362179416154,0.375552509656271,0.0591048350035329,0.451777827124644,-0.00586986859426131,1.06082905327872,0.828518392654525,-0.222171550195474,0.493872673271139
"39",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.55755527450714,0.675509089548554,-1.51169486796299,2.16485718535019,-0.255032616109121,0.105549065255682,-0.797895084557779,-0.0487301986219697,-1.07152346192469,0.238979121655357,-0.113423249904345,0.922311494138043,0.488923652173453,0.717228532383359,0.304752818336434,0.0591048350035329,0.760191668473258,0.763983313788107,0.611338011298465,0.811781641278287,-0.0593775231847912,0.452188019149794
"40",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.55625023020747,0.358803705714682,-1.35464199910648,1.06642222537463,0.208479304535005,0.0849980600503012,-2.29076330374881,0.00691837332963846,0.215754563971033,0.238979121655357,-0.452606606193197,0.711034754753825,0.459589803102891,0.738007253553197,3.12821051545132,0.0591048350035329,-0.413515094942023,-0.29847610708829,-0.0852296646994943,0.833481216585072,-0.124849275580784,0.406524265893579
"41",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.52719508494563,0.0658297173922294,-0.439958247169021,-0.178746980542165,-0.379394311264641,0.0973959416490472,-1.26681567849038,-0.455949166649662,0.631239056472587,0.238979121655357,0.569454255644489,-0.561398061470892,0.487299164695519,0.750738733588332,0.914851743321742,-0.515494342932795,0.126396115331363,0.295154955608223,0.786709831239384,0.819109923906148,-0.183728497857806,0.461799719446022
"42",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.54397719085512,0.534079889164587,0.732286749139861,-1.6013426625507,-0.89231936169642,0.117300997492601,0.660247436667255,0.938932637791144,0.44041128968556,0.238979121655357,2.64066484487779,-0.939041387822271,0.47237700231354,0.700065956237011,-0.0898774475530155,0.271710433430098,-1.33837483462659,0.963636079414945,-0.159154455668787,0.80276177203376,0.0794868925926055,0.351994819283146
"43",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.56852517588141,-1.22333904708613,2.19423287058347,0.765985914071299,-0.872577446671147,0.087309122366093,2.16325437174018,-0.603970612145879,1.09153623673905,0.238979121655357,0.544740848073165,0.211654581677935,0.47237700231354,0.700958552809303,-0.0241066251696369,0.261017523696932,0.579965797860252,0.0394864566794949,0.889489955149514,0.803103203841417,0.103072223828389,0.475664110722291
"44",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.58028238675249,0.287174721856698,-0.0921647448485893,0.512106016939029,-1.79716760783976,0.0859425818402883,0.200682753504353,-1.1455103279233,-0.77717301225743,0.238979121655357,0.537410378474799,0.610586739218404,0.453178166044522,0.692144747271675,-0.319786623347233,-2.14486979572813,0.395519647539857,1.05394352853607,0.0710672550771546,0.821816969310584,0.41830779337525,0.425082356361237
"45",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.56220607934056,-0.408736508105414,-0.366919055415996,-0.516943044024452,0.0751523926297709,0.110994240171747,0.40329376840626,-1.03972662299344,0.146377798678219,0.238979121655357,0.168120132609965,0.0977389611540832,0.455913758151298,0.731070970566306,0.217347590970452,1.99891661196674,0.0130002426980149,1.05394352853607,0.162348503061402,0.787872079992537,0.460117753827702,0.482231092375382
"46",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.59873532935189,1.45204447843063,-0.229206901520156,-0.760589984399713,0.397169188267833,0.112980739568893,-0.173878683518831,-1.43464833267053,1.45132370208055,0.238979121655357,-0.700883580760238,0.265707897433506,0.445224257211724,0.768706512513339,0.569006351753623,0.303103437521975,0.798757516677361,-1.13035345986347,0.501436302503356,0.740539115495835,0.60407673806099,0.495289219226544
"47",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.60146615452846,0.579980066159591,1.61249468475639,1.18433261433999,-0.882247003054234,0.121021334540383,-0.729249840968944,-0.127304958772212,0.658327625554408,0.238979121655357,1.02130516712655,-0.0335106933285536,0.438749349215662,0.764000436107332,-1.3582486072614,0.114973714704836,-0.98912852770151,-0.465613292283572,0.501436302503356,0.737817566965215,0.335752474552067,0.394758898260108
"48",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.61607326676589,0.397453795397563,-1.85362993636243,-1.61964818742704,1.13762626566655,0.0884233855498779,-1.46345018273156,1.04071041666867,0.658327625554408,0.238979121655357,1.48421322969056,0.337496916965832,0.44145463526547,0.757302662442198,-0.622538866291573,-0.158251900113183,-0.0105866601578365,-0.250088730225464,0.909148061526384,0.74514999378077,0.0820720615484263,0.433170981445679
"49",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.61129404172103,-0.656854973273971,-1.22476925814779,1.62991626202496,1.40703187842655,0.0731620441814601,1.63597667050135,-0.509159053460426,-0.814836767610047,0.238979121655357,1.40005027081769,1.39509580896043,0.405751873877924,0.757302662442198,0.433024125960409,0.207141378387786,-0.977610177595895,0.555499592001895,-0.314849471580367,0.740963689485765,-0.136114255634757,0.446510172748135
"50",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.60136239337555,1.1453758309437,-1.22476925814779,-1.64788435951048,-0.332893065203142,0.103168744676291,1.17005047170871,-0.138457957529375,1.48555276973716,0.242324262692298,-1.42061557220248,0.749714599232454,0.422634438059804,0.790663797021189,0.429165963786061,1.0716506407332,-1.35444607490843,-0.947422350368362,0.649818873540032,0.74687742881294,-0.163352407183444,0.48323377528625
"51",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.61583637921472,0.239136653307237,-0.159127987566125,2.59252431027952,-1.10974736534532,0.0952331529409138,0.739277760665395,-0.110207502525704,0.563898294777344,0.242324262692298,-0.878575957344441,1.01742818958008,0.422634438059804,0.77739932560659,-1.03081540320268,-0.202635364751179,-1.35444607490843,-0.305701674292964,-0.156855863887634,0.693364788412642,-0.194125495762602,0.475738855697356
"52",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.61583637921472,-0.82250627275825,0.116543941808148,-1.34397086928914,1.26323848452861,0.0790409735673069,-0.696952093947426,-0.894032223998146,-1.00023244714176,0.242324262692298,-0.656038561670427,0.281417680041728,0.415045368167559,0.756719501708185,-2.27149764985397,-0.764907257162474,-0.32276133056457,0.754294195406061,0.356418982145604,0.689469552860993,-0.146170675017615,0.455703475700759
"53",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2.62615361944356,-0.536799147889164,-0.953854294710114,-1.34397086928914,2.00316578575636,0.0790409735673069,0.777370042742214,1.24493287641305,-0.729405707519807,0.242646064778305,0.610389382494833,0.0870741518759927,0.424753609933387,0.77145670992823,0.390681125368492,0.627601818855405,0.697593634734701,0.143477295069497,1.41990759010366,0.689469552860993,-0.181091870035963,0.478822924996166
